class,timestamp
person,2020-03-15 21:13:44.033716
sofa,2020-03-15 21:13:44.033716
chair,2020-03-15 21:13:44.033716
person,2020-03-15 21:14:08.420892
sofa,2020-03-15 21:14:08.420892
chair,2020-03-15 21:14:08.420892
person,2020-03-15 21:14:21.599555
sofa,2020-03-15 21:14:21.599555
chair,2020-03-15 21:14:21.599555
person,2020-03-15 21:14:36.123803
sofa,2020-03-15 21:14:36.123803
chair,2020-03-15 21:14:36.123803
person,2020-03-15 21:14:48.245510
sofa,2020-03-15 21:14:48.245510
chair,2020-03-15 21:14:48.245510
person,2020-03-15 21:15:00.273595
sofa,2020-03-15 21:15:00.273595
chair,2020-03-15 21:15:00.273595
sofa,2020-03-15 21:16:57.422014
person,2020-03-15 21:16:57.422014
chair,2020-03-15 21:16:57.422014
person,2020-03-15 21:17:35.764230
sofa,2020-03-15 21:17:35.764230
chair,2020-03-15 21:17:35.764230
person,2020-03-15 21:18:16.422094
sofa,2020-03-15 21:18:16.422094
chair,2020-03-15 21:18:16.422094
person,2020-03-15 21:18:48.730714
sofa,2020-03-15 21:18:48.730714
chair,2020-03-15 21:18:48.730714
person,2020-03-15 21:19:00.777326
sofa,2020-03-15 21:19:00.777326
chair,2020-03-15 21:19:00.777326
person,2020-03-15 21:19:21.603549
sofa,2020-03-15 21:19:21.603549
chair,2020-03-15 21:19:21.603549
person,2020-03-15 21:19:34.012872
sofa,2020-03-15 21:19:34.012872
chair,2020-03-15 21:19:34.012872
person,2020-03-15 21:19:49.551089
sofa,2020-03-15 21:19:49.551089
chair,2020-03-15 21:19:49.551089
person,2020-03-15 21:20:01.756995
sofa,2020-03-15 21:20:01.756995
chair,2020-03-15 21:20:01.756995
person,2020-03-15 21:20:14.279372
sofa,2020-03-15 21:20:14.279372
cup,2020-03-15 21:20:14.279372
person,2020-03-15 21:20:26.632693
person,2020-03-15 21:20:26.632693
sofa,2020-03-15 21:20:26.632693
chair,2020-03-15 21:20:26.632693
person,2020-03-15 21:20:38.799179
sofa,2020-03-15 21:20:38.799179
chair,2020-03-15 21:20:38.799179
person,2020-03-15 21:20:53.059023
sofa,2020-03-15 21:20:53.059023
chair,2020-03-15 21:20:53.059023
person,2020-03-15 21:21:05.398569
sofa,2020-03-15 21:21:05.398569
chair,2020-03-15 21:21:05.398569
person,2020-03-15 21:21:18.410294
sofa,2020-03-15 21:21:18.410294
chair,2020-03-15 21:21:18.410294
person,2020-03-15 21:21:30.668356
sofa,2020-03-15 21:21:30.668356
chair,2020-03-15 21:21:30.668356
person,2020-03-15 21:21:48.267512
sofa,2020-03-15 21:21:48.267512
chair,2020-03-15 21:21:48.267512
person,2020-03-15 21:22:00.770612
sofa,2020-03-15 21:22:00.770612
person,2020-03-15 21:22:52.928925
sofa,2020-03-15 21:22:52.928925
chair,2020-03-15 21:22:52.928925
person,2020-03-15 21:23:17.299384
sofa,2020-03-15 21:23:17.299384
chair,2020-03-15 21:23:17.299384
person,2020-03-15 21:23:29.573509
sofa,2020-03-15 21:23:29.573509
chair,2020-03-15 21:23:29.573509
person,2020-03-15 21:25:37.551408
sofa,2020-03-15 21:25:37.551408
chair,2020-03-15 21:25:37.551408
person,2020-03-15 21:25:53.635968
sofa,2020-03-15 21:25:53.635968
chair,2020-03-15 21:25:53.635968
person,2020-03-15 21:26:10.461343
sofa,2020-03-15 21:26:10.461343
chair,2020-03-15 21:26:10.461343
person,2020-03-15 21:26:22.940739
sofa,2020-03-15 21:26:22.940739
chair,2020-03-15 21:26:22.940739
person,2020-03-15 21:26:56.445216
sofa,2020-03-15 21:26:56.445216
chair,2020-03-15 21:26:56.445216
person,2020-03-15 21:27:20.324505
sofa,2020-03-15 21:27:20.324505
chair,2020-03-15 21:27:20.324505
person,2020-03-15 21:27:32.497850
sofa,2020-03-15 21:27:32.497850
chair,2020-03-15 21:27:32.497850
person,2020-03-15 21:27:44.524206
sofa,2020-03-15 21:27:44.524206
chair,2020-03-15 21:27:44.524206
person,2020-03-15 21:27:56.642994
sofa,2020-03-15 21:27:56.642994
cup,2020-03-15 21:27:56.642994
chair,2020-03-15 21:27:56.642994
person,2020-03-15 21:28:08.688701
sofa,2020-03-15 21:28:08.688701
chair,2020-03-15 21:28:08.688701
person,2020-03-15 21:28:21.471278
sofa,2020-03-15 21:28:21.471278
chair,2020-03-15 21:28:21.471278
person,2020-03-15 21:28:33.197023
sofa,2020-03-15 21:28:33.197023
chair,2020-03-15 21:28:33.197023
person,2020-03-15 21:29:00.282423
sofa,2020-03-15 21:29:00.282423
chair,2020-03-15 21:29:00.282423
person,2020-03-15 21:29:16.365791
sofa,2020-03-15 21:29:16.365791
chair,2020-03-15 21:29:16.365791
person,2020-03-15 21:29:31.693875
sofa,2020-03-15 21:29:31.693875
chair,2020-03-15 21:29:31.693875
person,2020-03-15 21:29:43.521534
sofa,2020-03-15 21:29:43.521534
chair,2020-03-15 21:29:43.521534
person,2020-03-15 21:30:00.442285
sofa,2020-03-15 21:30:00.442285
chair,2020-03-15 21:30:00.442285
person,2020-03-15 21:30:27.327321
sofa,2020-03-15 21:30:27.327321
chair,2020-03-15 21:30:27.327321
person,2020-03-15 21:31:23.476429
sofa,2020-03-15 21:31:23.476429
chair,2020-03-15 21:31:23.476429
person,2020-03-15 21:31:36.897713
sofa,2020-03-15 21:31:36.897713
chair,2020-03-15 21:31:36.897713
person,2020-03-15 21:31:54.041110
sofa,2020-03-15 21:31:54.041110
chair,2020-03-15 21:31:54.041110
person,2020-03-15 21:32:13.655934
sofa,2020-03-15 21:32:13.655934
chair,2020-03-15 21:32:13.655934
person,2020-03-15 21:32:32.145970
sofa,2020-03-15 21:32:32.145970
chair,2020-03-15 21:32:32.145970
person,2020-03-15 21:32:50.471723
sofa,2020-03-15 21:32:50.471723
chair,2020-03-15 21:32:50.471723
person,2020-03-15 21:33:54.007470
sofa,2020-03-15 21:33:54.007470
chair,2020-03-15 21:33:54.007470
person,2020-03-15 21:34:11.961912
sofa,2020-03-15 21:34:11.961912
chair,2020-03-15 21:34:11.961912
person,2020-03-15 21:34:59.350630
sofa,2020-03-15 21:34:59.350630
chair,2020-03-15 21:34:59.350630
person,2020-03-15 21:35:25.755533
sofa,2020-03-15 21:35:25.755533
chair,2020-03-15 21:35:25.755533
person,2020-03-15 21:35:38.147390
sofa,2020-03-15 21:35:38.147390
chair,2020-03-15 21:35:38.147390
person,2020-03-15 21:35:58.583848
sofa,2020-03-15 21:35:58.583848
chair,2020-03-15 21:35:58.583848
person,2020-03-15 21:36:47.113762
sofa,2020-03-15 21:36:47.113762
chair,2020-03-15 21:36:47.113762
person,2020-03-15 21:36:59.492223
sofa,2020-03-15 21:36:59.492223
chair,2020-03-15 21:36:59.492223
person,2020-03-15 21:44:37.156790
sofa,2020-03-15 21:44:37.156790
chair,2020-03-15 21:44:37.156790
person,2020-03-15 21:44:50.797000
sofa,2020-03-15 21:44:50.797000
chair,2020-03-15 21:44:50.797000
person,2020-03-15 21:45:24.735248
sofa,2020-03-15 21:45:24.735248
chair,2020-03-15 21:45:24.735248
person,2020-03-15 21:45:36.673071
sofa,2020-03-15 21:45:36.673071
chair,2020-03-15 21:45:36.673071
person,2020-03-15 21:45:49.290711
sofa,2020-03-15 21:45:49.290711
chair,2020-03-15 21:45:49.290711
person,2020-03-15 21:46:08.547453
sofa,2020-03-15 21:46:08.547453
chair,2020-03-15 21:46:08.547453
